area_code,date,measurement,value,variable,official_name
S08000019,2020-05-13,Count,859,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-08,Count,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-07,Count,818,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-10,Count,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-09,Count,828,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-20,Count,894,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-19,Count,883,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-22,Count,909,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-21,Count,896,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-16,Count,871,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-15,Count,867,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-18,Count,880,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-17,Count,873,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-27,Count,680,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-26,Count,662,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-29,Count,717,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-28,Count,689,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-23,Count,604,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-22,Count,569,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-25,Count,655,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-24,Count,606,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-04,Count,794,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-03,Count,788,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-06,Count,809,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-05,Count,802,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-01,Count,747,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-04-30,Count,724,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-02,Count,757,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000029,2020-05-02,Count,768,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-01,Count,750,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-04,Count,778,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-03,Count,776,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-28,Count,692,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-27,Count,681,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-30,Count,737,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-29,Count,712,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-10,Count,811,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-09,Count,810,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-12,Count,813,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-11,Count,813,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-06,Count,792,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-05,Count,784,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-08,Count,804,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-07,Count,801,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-17,Count,488,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-16,Count,446,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-19,Count,532,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-18,Count,514,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-13,Count,383,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-12,Count,379,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-15,Count,424,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-14,Count,397,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-24,Count,637,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-23,Count,619,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-26,Count,672,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-25,Count,653,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-21,Count,561,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-20,Count,542,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-04-22,Count,593,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000019,2020-03-13,Count,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-12,Count,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000029,2020-05-28,Count,830,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000019,2020-03-19,Count,17,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-18,Count,15,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-21,Count,27,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-20,Count,23,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-15,Count,10,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-14,Count,6,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-17,Count,12,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-03-16,Count,10,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000029,2020-05-18,Count,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-17,Count,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-20,Count,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-19,Count,825,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-14,Count,823,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-13,Count,816,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-16,Count,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-15,Count,824,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-25,Count,827,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-24,Count,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-27,Count,830,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-26,Count,828,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-22,Count,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-21,Count,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000029,2020-05-23,Count,826,Testing - Cumulative people tested for COVID-19 - Positive,Fife
S08000020,2020-05-22,Count,1223,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-21,Count,1218,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-24,Count,1224,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-23,Count,1223,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-18,Count,1200,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-17,Count,1189,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-20,Count,1216,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-19,Count,1206,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-26,Count,1250,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-25,Count,1245,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-28,Count,1259,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-27,Count,1256,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-07,Count,973,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-06,Count,957,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-09,Count,1035,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-08,Count,1001,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-03,Count,898,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-02,Count,889,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-05,Count,946,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-04,Count,931,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-14,Count,1142,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-13,Count,1123,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-16,Count,1181,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-15,Count,1152,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-11,Count,1078,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-10,Count,1050,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-12,Count,1102,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000031,2020-03-31,Count,547,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-30,Count,449,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-02,Count,682,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-01,Count,632,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-27,Count,299,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-26,Count,258,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-29,Count,401,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-28,Count,376,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-08,Count,1166,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-07,Count,1094,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-10,Count,1314,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-09,Count,1251,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-04,Count,851,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-03,Count,779,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-06,Count,984,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-04-05,Count,931,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-16,Count,44,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-15,Count,39,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-18,Count,57,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-17,Count,49,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-12,Count,10,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-11,Count,5,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-14,Count,31,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-13,Count,20,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-23,Count,152,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-22,Count,130,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-25,Count,221,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-24,Count,183,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-20,Count,91,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-19,Count,71,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000031,2020-03-21,Count,110,Testing - Cumulative people tested for COVID-19 - Positive,Greater Glasgow and Clyde
S08000020,2020-03-21,Count,20,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-20,Count,19,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-23,Count,24,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-22,Count,23,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-17,Count,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-16,Count,12,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-19,Count,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-18,Count,18,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-29,Count,62,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-28,Count,52,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-31,Count,86,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-30,Count,66,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-25,Count,29,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-24,Count,24,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-27,Count,45,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-26,Count,31,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000019,2020-05-28,Count,919,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-27,Count,919,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-24,Count,917,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-23,Count,915,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-26,Count,918,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000019,2020-05-25,Count,917,Testing - Cumulative people tested for COVID-19 - Positive,Forth Valley
S08000020,2020-03-13,Count,9,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-12,Count,7,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-15,Count,12,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-14,Count,9,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-10,Count,6,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-03-11,Count,6,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-21,Count,519,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-20,Count,490,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-23,Count,602,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-22,Count,550,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-17,Count,394,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-16,Count,389,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-19,Count,464,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-18,Count,432,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-29,Count,813,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-28,Count,782,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-05-01,Count,866,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-30,Count,834,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-25,Count,700,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-24,Count,638,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-27,Count,771,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-26,Count,748,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-06,Count,209,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-05,Count,194,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-08,Count,223,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-07,Count,210,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-02,Count,128,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-01,Count,108,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-04,Count,177,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-03,Count,173,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-13,Count,313,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-12,Count,291,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-15,Count,357,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-14,Count,335,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-10,Count,251,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-09,Count,236,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000020,2020-04-11,Count,261,Testing - Cumulative people tested for COVID-19 - Positive,Grampian
S08000016,2020-04-12,Count,199,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-11,Count,189,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-14,Count,208,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-13,Count,204,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-08,Count,160,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-07,Count,149,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-10,Count,177,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-09,Count,167,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-20,Count,239,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-19,Count,237,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-22,Count,243,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-21,Count,240,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-16,Count,220,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-15,Count,215,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-18,Count,231,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-17,Count,229,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-28,Count,35,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-27,Count,28,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-30,Count,63,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-29,Count,50,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-24,Count,12,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-23,Count,12,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-26,Count,23,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-25,Count,15,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-04,Count,110,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-03,Count,100,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-06,Count,139,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-05,Count,130,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-01,Count,87,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-03-31,Count,77,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-02,Count,93,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-13,Count,297,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-12,Count,294,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-15,Count,304,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-14,Count,298,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-09,Count,286,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-08,Count,286,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-11,Count,292,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-10,Count,286,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-21,Count,322,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-20,Count,322,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-23,Count,322,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-22,Count,322,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-17,Count,313,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-16,Count,310,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-19,Count,317,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-18,Count,316,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-28,Count,272,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-27,Count,269,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-30,Count,279,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-29,Count,279,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-24,Count,253,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-23,Count,248,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-26,Count,259,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-04-25,Count,258,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-05,Count,284,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-04,Count,284,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-07,Count,286,Testing - Cumulative people tested for COVID-19 - Positive,Borders
S08000016,2020-05-06,Count,285,Testing - Cumulative people tested for COVID-19 - Positive,Borders
