FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,Cause Of Death,Location Of Death,official_name
S12000039,2020,Count,Deaths,641,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-05-25,Count,Deaths,22,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-27,Count,Deaths,17,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-01-13,Count,Deaths,25,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-03-30,Count,Deaths,43,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-04-20,Count,Deaths,19,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-03-23,Count,Deaths,21,All,All,All causes,All,West Dunbartonshire
S12000039,2020,Count,Deaths,0,All,All,All causes,Other institution,West Dunbartonshire
S12000039,w/c 2020-04-06,Count,Deaths,43,All,All,All causes,All,West Dunbartonshire
S12000039,2020,Count,Deaths,122,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-03-30,Count,Deaths,16,All,All,COVID-19 related,All,West Dunbartonshire
S12000039,w/c 2020-02-10,Count,Deaths,16,All,All,All causes,All,West Dunbartonshire
S12000039,w/c 2020-03-16,Count,Deaths,0,All,All,COVID-19 related,All,West Dunbartonshire
S12000040,w/c 2020-05-11,Count,Deaths,44,All,All,All causes,All,West Lothian
S12000040,w/c 2020-05-04,Count,Deaths,42,All,All,All causes,All,West Lothian
S12000040,w/c 2020-03-23,Count,Deaths,30,All,All,All causes,All,West Lothian
S12000040,w/c 2020-01-06,Count,Deaths,35,All,All,All causes,All,West Lothian
S12000040,w/c 2020-02-10,Count,Deaths,44,All,All,All causes,All,West Lothian
S12000040,2020,Count,Deaths,38,All,All,COVID-19 related,Care Home,West Lothian
S12000040,2020,Count,Deaths,10,All,All,COVID-19 related,Home / Non-institution,West Lothian
S12000040,w/c 2020-06-08,Count,Deaths,38,All,All,All causes,All,West Lothian
S12000040,w/c 2020-03-30,Count,Deaths,8,All,All,COVID-19 related,All,West Lothian
S12000040,2020,Count,Deaths,927,All,All,All causes,All,West Lothian
S12000040,2020,Count,Deaths,0,All,All,COVID-19 related,Other institution,West Lothian
S12000040,w/c 2020-04-13,Count,Deaths,8,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-04-06,Count,Deaths,15,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-04-20,Count,Deaths,12,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-05-25,Count,Deaths,41,All,All,All causes,All,West Lothian
S12000040,w/c 2020-03-23,Count,Deaths,2,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-05-18,Count,Deaths,38,All,All,All causes,All,West Lothian
S12000040,w/c 2020-04-13,Count,Deaths,43,All,All,All causes,All,West Lothian
S12000040,w/c 2020-04-06,Count,Deaths,51,All,All,All causes,All,West Lothian
S12000040,2020,Count,Deaths,42,All,All,COVID-19 related,Hospital,West Lothian
S12000040,2020,Count,Deaths,210,All,All,All causes,Care Home,West Lothian
S12000040,w/c 2020-05-11,Count,Deaths,3,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-04-20,Count,Deaths,41,All,All,All causes,All,West Lothian
S12000040,w/c 2020-04-27,Count,Deaths,51,All,All,All causes,All,West Lothian
S12000040,w/c 2020-03-09,Count,Deaths,40,All,All,All causes,All,West Lothian
S12000040,2020,Count,Deaths,299,All,All,All causes,Home / Non-institution,West Lothian
S12000040,w/c 2020-06-01,Count,Deaths,4,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-01-20,Count,Deaths,33,All,All,All causes,All,West Lothian
S12000040,w/c 2020-03-16,Count,Deaths,39,All,All,All causes,All,West Lothian
S12000040,w/c 2020-05-25,Count,Deaths,6,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-05-18,Count,Deaths,9,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-03-16,Count,Deaths,1,All,All,COVID-19 related,All,West Lothian
S12000040,2020,Count,Deaths,90,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-03-02,Count,Deaths,28,All,All,All causes,All,West Lothian
S12000040,w/c 2020-06-08,Count,Deaths,3,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-03-30,Count,Deaths,45,All,All,All causes,All,West Lothian
S12000040,2020,Count,Deaths,0,All,All,All causes,Other institution,West Lothian
S12000040,2020,Count,Deaths,418,All,All,All causes,Hospital,West Lothian
S12000040,w/c 2020-05-04,Count,Deaths,13,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-01-13,Count,Deaths,29,All,All,All causes,All,West Lothian
S12000040,w/c 2020-06-01,Count,Deaths,29,All,All,All causes,All,West Lothian
S12000040,w/c 2020-01-27,Count,Deaths,40,All,All,All causes,All,West Lothian
S12000040,w/c 2019-12-30,Count,Deaths,36,All,All,All causes,All,West Lothian
S12000040,w/c 2020-04-27,Count,Deaths,6,All,All,COVID-19 related,All,West Lothian
S12000040,w/c 2020-02-03,Count,Deaths,40,All,All,All causes,All,West Lothian
S12000040,w/c 2020-02-24,Count,Deaths,36,All,All,All causes,All,West Lothian
S12000040,w/c 2020-02-17,Count,Deaths,34,All,All,All causes,All,West Lothian
S92000003,w/c 2020-02-10,Count,Deaths,144,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,206,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,119,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,126,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,99,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,81,All,65-74 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,3345,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,228,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,101,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,119,Male,65-74 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,221,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,330,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,96,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,56,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,589,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,305,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,113,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,506,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,509,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,74,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,26,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,127,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,137,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,132,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,116,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,116,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,112,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,10,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,138,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,118,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,68,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,239,All,65-74 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,5761,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,1,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,134,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,123,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,127,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,217,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,321,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,367,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,215,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,3,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,11,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,202,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,364,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,16,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,313,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,413,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,231,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,530,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,402,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,92,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,8,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,389,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,407,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,444,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,11,All,All,All causes,Other institution,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,95,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,21,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,570,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,101,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,1,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,96,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,87,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,2,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,20,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,354,All,All,All causes,Home / Non-institution,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,5,All,All,All causes,Other institution,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,47,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,26,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,6,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,240,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,197,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,288,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,8,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,3,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,2,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,0,Female,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,0,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,1,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,2,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,0,Female,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,0,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,0,Female,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,0,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,5,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,4,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,4,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,6,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,3,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,2,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,1226,All,All,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,6,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,1,Male,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,Female,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,0,Male,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,1,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,1,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,1,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,2,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,4,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,3,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,4,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,1,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,1,Female,0 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,2,All,0 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,90,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,144,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,3,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,47,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,214,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,107,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,81,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,180,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,175,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,8,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,82,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,6,All,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,161,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,131,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,116,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,32,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,224,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,208,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,133,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,204,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,4,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,50,All,65-74 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,368,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,1188,All,All,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,All,0 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,270,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,197,All,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,33,Female,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,295,All,65-74 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,2416,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,92,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,127,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,48,Male,65-74 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,133,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,144,Male,65-74 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,98,Female,65-74 years,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,195,Female,75-84 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,744,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,11,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,77,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,612,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,372,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,285,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,172,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,178,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,317,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,322,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,329,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,131,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,333,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,331,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,12,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,187,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,163,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,1208,All,All,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,3,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,4695,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,220,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,97,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,245,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,186,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,174,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,66,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,184,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,41,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,146,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,182,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,42,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,4994,Male,75-84 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,50,Female,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,173,Female,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,291,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,3,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,143,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,25,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,1356,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,185,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,12,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,363,All,75-84 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,1198,All,All,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,323,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,606,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,428,All,75-84 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,9689,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,249,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,310,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,415,All,All,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,293,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,121,Male,75-84 years,COVID-19 related,All,Scotland
