Generated by http://statistics.gov.scot,2020-08-13T13:48:30+00:00
http://statistics.gov.scot/data/business-stocks-and-sites,Business Stocks and Sites
Reference Period,2017
Business Estimates,Sites
Industry Sector (SIC 07),Accommodation and Food Services (Section I)
Number Of Employees,All employees
Measure (cell values): ,Count(Sites)

,,http://statistics.gov.scot/def/measure-properties/count
http://statistics.gov.scot/id/statistical-geography/S02000225,Ardler and St Marys,10
http://statistics.gov.scot/id/statistical-geography/S02000849,Ardrossan Central,15
http://statistics.gov.scot/id/statistical-geography/S02000855,Ardrossan North East,5
http://statistics.gov.scot/id/statistical-geography/S02000854,Ardrossan North West,5
http://statistics.gov.scot/id/statistical-geography/S02001222,Armadale,20
http://statistics.gov.scot/id/statistical-geography/S02000832,Arran,50
http://statistics.gov.scot/id/statistical-geography/S02001095,Ashgill and Netherburn,5
http://statistics.gov.scot/id/statistical-geography/S02000026,Ashgrove,5
http://statistics.gov.scot/id/statistical-geography/S02000322,Auchenback,0
http://statistics.gov.scot/id/statistical-geography/S02000260,Auchinairn,10
http://statistics.gov.scot/id/statistical-geography/S02000238,Auchinleck,10
http://statistics.gov.scot/id/statistical-geography/S02000084,Auchnagatt,0
http://statistics.gov.scot/id/statistical-geography/S02000953,Auchterarder,20
http://statistics.gov.scot/id/statistical-geography/S02000087,Auchterless and Monquhitter,0
http://statistics.gov.scot/id/statistical-geography/S02000570,Auchtermuchty and Gateside,5
http://statistics.gov.scot/id/statistical-geography/S02001069,"Ayr North Harbour, Wallacetown and Newton South",20
http://statistics.gov.scot/id/statistical-geography/S02001067,Ayr South Harbour and Town Centre,95
http://statistics.gov.scot/id/statistical-geography/S02000340,Baberton and Juniper Green,10
http://statistics.gov.scot/id/statistical-geography/S02000723,Badenoch and Strathspey Central,55
http://statistics.gov.scot/id/statistical-geography/S02000726,Badenoch and Strathspey North,35
http://statistics.gov.scot/id/statistical-geography/S02000721,Badenoch and Strathspey South,40
http://statistics.gov.scot/id/statistical-geography/S02000618,Baillieston East,25
http://statistics.gov.scot/id/statistical-geography/S02000626,Baillieston West,0
http://statistics.gov.scot/id/statistical-geography/S02000470,Bainsford and Langlees,5
http://statistics.gov.scot/id/statistical-geography/S02000330,Balerno,5
http://statistics.gov.scot/id/statistical-geography/S02000204,Balgay,10
http://statistics.gov.scot/id/statistical-geography/S02000042,Balgownie and Donmouth East,10
http://statistics.gov.scot/id/statistical-geography/S02000041,Balgownie and Donmouth West,5
http://statistics.gov.scot/id/statistical-geography/S02000380,Balgreen and Roseburn,5
http://statistics.gov.scot/id/statistical-geography/S02000538,Ballingry,5
http://statistics.gov.scot/id/statistical-geography/S02000933,Balloch East,10
http://statistics.gov.scot/id/statistical-geography/S02000936,Balloch West,5
http://statistics.gov.scot/id/statistical-geography/S02000941,Balmalloch,5
http://statistics.gov.scot/id/statistical-geography/S02000069,Balmedie and Potterton,5
http://statistics.gov.scot/id/statistical-geography/S02000581,Balmullo and Gauldry,5
http://statistics.gov.scot/id/statistical-geography/S02000697,Balornock,0
http://statistics.gov.scot/id/statistical-geography/S02000057,Banchory,20
http://statistics.gov.scot/id/statistical-geography/S02000059,Banchory-Devenick and Findon,10
http://statistics.gov.scot/id/statistical-geography/S02000099,Banff,20
http://statistics.gov.scot/id/statistical-geography/S02001158,Bankhead South,5
http://statistics.gov.scot/id/statistical-geography/S02000445,Banknock and Haggs,5
http://statistics.gov.scot/id/statistical-geography/S02001165,Bannockburn,20
http://statistics.gov.scot/id/statistical-geography/S02000453,Bantaskin,5
http://statistics.gov.scot/id/statistical-geography/S02001079,Barassie,0
http://statistics.gov.scot/id/statistical-geography/S02000646,Barlanark,5
http://statistics.gov.scot/id/statistical-geography/S02000282,Barloch,5
http://statistics.gov.scot/id/statistical-geography/S02000687,Barmulloch,5
http://statistics.gov.scot/id/statistical-geography/S02000212,Barnhill,10
http://statistics.gov.scot/id/statistical-geography/S02000413,Barnton and Cammo,5
http://statistics.gov.scot/id/statistical-geography/S02000431,Barra and South Uist,15
http://statistics.gov.scot/id/statistical-geography/S02000074,Barrahill,10
http://statistics.gov.scot/id/statistical-geography/S02001225,Bathgate East,45
http://statistics.gov.scot/id/statistical-geography/S02001219,Bathgate West,0
http://statistics.gov.scot/id/statistical-geography/S02000607,Battlefield,20
http://statistics.gov.scot/id/statistical-geography/S02000215,Baxter Park,0
http://statistics.gov.scot/id/statistical-geography/S02000862,Beith East and Rural,10
http://statistics.gov.scot/id/statistical-geography/S02000864,Beith West,0
http://statistics.gov.scot/id/statistical-geography/S02000241,Bellfield and Kirkstyle,5
http://statistics.gov.scot/id/statistical-geography/S02000898,Bellshill Central,20
http://statistics.gov.scot/id/statistical-geography/S02000892,Bellshill South,20
http://statistics.gov.scot/id/statistical-geography/S02001065,Belmont,5
http://statistics.gov.scot/id/statistical-geography/S02000432,Benbecula and North Ui,15
http://statistics.gov.scot/id/statistical-geography/S02000150,Benderloch Trail,35
http://statistics.gov.scot/id/statistical-geography/S02001047,Berwickshire Central,10
http://statistics.gov.scot/id/statistical-geography/S02001048,Berwickshire East,25
http://statistics.gov.scot/id/statistical-geography/S02001045,Berwickshire West,5
http://statistics.gov.scot/id/statistical-geography/S02001085,"Biggar, Symington, Thankerton and Dolphinton",20
http://statistics.gov.scot/id/statistical-geography/S02000378,"Bingham, Magdalene and the Christians",5
http://statistics.gov.scot/id/statistical-geography/S02000901,Birkenshaw,5
http://statistics.gov.scot/id/statistical-geography/S02001112,"Birniehill, Kelvin and Whitehills East",10
http://statistics.gov.scot/id/statistical-geography/S02000268,Bishopbriggs North and Kenmure,5
http://statistics.gov.scot/id/statistical-geography/S02000264,Bishopbriggs West and Cadder,20
http://statistics.gov.scot/id/statistical-geography/S02001020,Bishopton,15
http://statistics.gov.scot/id/statistical-geography/S02000753,Black Isle North,10
http://statistics.gov.scot/id/statistical-geography/S02000748,Black Isle South,25
http://statistics.gov.scot/id/statistical-geography/S02001212,Blackburn,15
http://statistics.gov.scot/id/statistical-geography/S02000355,Blackford,20
http://statistics.gov.scot/id/statistical-geography/S02000397,Blackhall,10
http://statistics.gov.scot/id/statistical-geography/S02000678,Blackhill and Barmulloch East,5
http://statistics.gov.scot/id/statistical-geography/S02000454,"Blackness, Carriden and Grahamsdyke",10
http://statistics.gov.scot/id/statistical-geography/S02001215,Blackridge,5
http://statistics.gov.scot/id/statistical-geography/S02001205,Blaeberry Hill,5
http://statistics.gov.scot/id/statistical-geography/S02000982,"Blair Atholl, Strathardle and Glenshee",35
http://statistics.gov.scot/id/statistical-geography/S02000709,Blairdardie East,0
http://statistics.gov.scot/id/statistical-geography/S02000711,Blairdardie West,5
http://statistics.gov.scot/id/statistical-geography/S02000978,Blairgowrie East (Rattray),5
http://statistics.gov.scot/id/statistical-geography/S02000977,Blairgowrie West,30
http://statistics.gov.scot/id/statistical-geography/S02001163,Blane Valley,5
http://statistics.gov.scot/id/statistical-geography/S02001143,Blantyre South and Wheatlands,10
http://statistics.gov.scot/id/statistical-geography/S02001144,Blantytre North and Coatshill,10
http://statistics.gov.scot/id/statistical-geography/S02000331,Bonaly and Pentlands,10
http://statistics.gov.scot/id/statistical-geography/S02000418,Bonnington and Pilrig,20
http://statistics.gov.scot/id/statistical-geography/S02000465,Bonnybridge,15
http://statistics.gov.scot/id/statistical-geography/S02000802,Bonnyrigg North,20
http://statistics.gov.scot/id/statistical-geography/S02000800,Bonnyrigg South,0
http://statistics.gov.scot/id/statistical-geography/S02000250,Bonnyton and Town Centre,50
http://statistics.gov.scot/id/statistical-geography/S02000190,Boreland and Ecclefechan,5
http://statistics.gov.scot/id/statistical-geography/S02001168,Borestone,10
http://statistics.gov.scot/id/statistical-geography/S02000423,Boswall and Pilton,5
http://statistics.gov.scot/id/statistical-geography/S02001147,Bothwell North,0
http://statistics.gov.scot/id/statistical-geography/S02001145,Bothwell South,10
http://statistics.gov.scot/id/statistical-geography/S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",5
http://statistics.gov.scot/id/statistical-geography/S02000456,Bowhouse,5
http://statistics.gov.scot/id/statistical-geography/S02000440,Braes Villages,0
http://statistics.gov.scot/id/statistical-geography/S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig",5
http://statistics.gov.scot/id/statistical-geography/S02000011,"Braeside, Mannofield, Broomhill and Seafield East",10
http://statistics.gov.scot/id/statistical-geography/S02000013,"Braeside, Mannofield, Broomhill and Seafield North",5
http://statistics.gov.scot/id/statistical-geography/S02000009,"Braeside, Mannofield, Broomhill and Seafield South",0
http://statistics.gov.scot/id/statistical-geography/S02000620,Braidfauld,15
http://statistics.gov.scot/id/statistical-geography/S02000347,Braids,0
http://statistics.gov.scot/id/statistical-geography/S02000126,Brechin East,10
http://statistics.gov.scot/id/statistical-geography/S02000127,Brechin West,10
http://statistics.gov.scot/id/statistical-geography/S02001202,Breich Valley,5
http://statistics.gov.scot/id/statistical-geography/S02001178,Bridge of Allan,20
http://statistics.gov.scot/id/statistical-geography/S02000955,Bridge of Earn and Abernethy,10
http://statistics.gov.scot/id/statistical-geography/S02001008,Bridge of Weir,10
http://statistics.gov.scot/id/statistical-geography/S02000444,"Brightons, Reddingmuirhead and Wallacest",10
http://statistics.gov.scot/id/statistical-geography/S02000438,Broadbay,0
http://statistics.gov.scot/id/statistical-geography/S02000679,Broomhill,10
http://statistics.gov.scot/id/statistical-geography/S02000358,Broomhouse and Sighthill,10
http://statistics.gov.scot/id/statistical-geography/S02000412,Broughton,20
http://statistics.gov.scot/id/statistical-geography/S02000213,Broughty Ferry East,5
http://statistics.gov.scot/id/statistical-geography/S02000206,Broughty Ferry Wes,45
http://statistics.gov.scot/id/statistical-geography/S02001227,Broxburn,15
http://statistics.gov.scot/id/statistical-geography/S02000376,Bruntsfield,35
http://statistics.gov.scot/id/statistical-geography/S02000540,Buckhaven and Muiredge,0
http://statistics.gov.scot/id/statistical-geography/S02000828,Buckie Central East,10
http://statistics.gov.scot/id/statistical-geography/S02000827,Buckie West and Mains of Buckie,15
http://statistics.gov.scot/id/statistical-geography/S02000043,Bucksburn North,20
http://statistics.gov.scot/id/statistical-geography/S02000039,Bucksburn South,5
http://statistics.gov.scot/id/statistical-geography/S02000399,Bughtlin and Parkgrove,5
http://statistics.gov.scot/id/statistical-geography/S02001159,"Burgh, Eastfield and Silverbank",5
http://statistics.gov.scot/id/statistical-geography/S02000829,"Burghead, Roseisle and Laich",10
http://statistics.gov.scot/id/statistical-geography/S02000962,Burghmuir and Oakbank,0
http://statistics.gov.scot/id/statistical-geography/S02001137,Burnbank Central and Udston,5
http://statistics.gov.scot/id/statistical-geography/S02001141,Burnbank North,15
http://statistics.gov.scot/id/statistical-geography/S02001133,Burnbank South and Chantinghall,10
http://statistics.gov.scot/id/statistical-geography/S02001026,Burnfoot and area,0
http://statistics.gov.scot/id/statistical-geography/S02001160,Burnhill and Bankhead North,5
http://statistics.gov.scot/id/statistical-geography/S02001150,Burnside and Springhall,5
http://statistics.gov.scot/id/statistical-geography/S02000495,Burntisland East,5
http://statistics.gov.scot/id/statistical-geography/S02000500,Burntisland West,10
http://statistics.gov.scot/id/statistical-geography/S02000315,Busby,10
http://statistics.gov.scot/id/statistical-geography/S02000132,Bute,5
http://statistics.gov.scot/id/statistical-geography/S02000223,Caird Park,0
http://statistics.gov.scot/id/statistical-geography/S02000490,Cairneyhill and Crombie,0
http://statistics.gov.scot/id/statistical-geography/S02000908,Cairnhill,25
http://statistics.gov.scot/id/statistical-geography/S02000768,Caithness North East,15
http://statistics.gov.scot/id/statistical-geography/S02000767,Caithness North West,10
http://statistics.gov.scot/id/statistical-geography/S02000763,Caithness South,10
http://statistics.gov.scot/id/statistical-geography/S02000921,Caldercruix and Plains,10
http://statistics.gov.scot/id/statistical-geography/S02000350,Calders,5
http://statistics.gov.scot/id/statistical-geography/S02001217,Calderwood,10
http://statistics.gov.scot/id/statistical-geography/S02001136,Calderwood Central,0
http://statistics.gov.scot/id/statistical-geography/S02001138,Calderwood East,0
http://statistics.gov.scot/id/statistical-geography/S02001132,Calderwood West and Nerston,10
http://statistics.gov.scot/id/statistical-geography/S02001182,Callander,25
http://statistics.gov.scot/id/statistical-geography/S02000635,"Calton, Galllowgate and Bridgeton",35
http://statistics.gov.scot/id/statistical-geography/S02001166,Cambusbarron and Carron Vall,5
http://statistics.gov.scot/id/statistical-geography/S02001153,Cambuslang Central,15
http://statistics.gov.scot/id/statistical-geography/S02000459,Camelon East,20
http://statistics.gov.scot/id/statistical-geography/S02000458,Camelon West,5
http://statistics.gov.scot/id/statistical-geography/S02000130,Campbeltown,20
http://statistics.gov.scot/id/statistical-geography/S02000534,Cardenden,15
http://statistics.gov.scot/id/statistical-geography/S02000637,Cardonald North,0
http://statistics.gov.scot/id/statistical-geography/S02000625,Cardonald South and East,20
http://statistics.gov.scot/id/statistical-geography/S02000627,Cardonald West and Central,20
http://statistics.gov.scot/id/statistical-geography/S02000896,Carfin North,10
http://statistics.gov.scot/id/statistical-geography/S02000887,"Carfin, Cleekhimin and New Stevenston",15
http://statistics.gov.scot/id/statistical-geography/S02001100,Carluke East,0
http://statistics.gov.scot/id/statistical-geography/S02001104,Carluke North,10
http://statistics.gov.scot/id/statistical-geography/S02001099,Carluke South,10
http://statistics.gov.scot/id/statistical-geography/S02001103,Carluke West,5
http://statistics.gov.scot/id/statistical-geography/S02000591,Carmunnock North,0
http://statistics.gov.scot/id/statistical-geography/S02000584,Carmunnock South,0
http://statistics.gov.scot/id/statistical-geography/S02000613,Carmyle and Mount Vernon South,5
http://statistics.gov.scot/id/statistical-geography/S02000108,Carnoustie East,10
http://statistics.gov.scot/id/statistical-geography/S02000107,Carnoustie West,10
http://statistics.gov.scot/id/statistical-geography/S02000657,Carntyne,5
http://statistics.gov.scot/id/statistical-geography/S02000648,Carntyne West and Haghill,20
http://statistics.gov.scot/id/statistical-geography/S02000594,Carnwadric East,5
http://statistics.gov.scot/id/statistical-geography/S02000592,Carnwadric West,5
http://statistics.gov.scot/id/statistical-geography/S02000372,Carrick Knowe,5
http://statistics.gov.scot/id/statistical-geography/S02001060,Carrick North,15
http://statistics.gov.scot/id/statistical-geography/S02001057,Carrick South,25
http://statistics.gov.scot/id/statistical-geography/S02000938,Carrickstone,5
http://statistics.gov.scot/id/statistical-geography/S02000474,Carron,5
http://statistics.gov.scot/id/statistical-geography/S02000476,Carronshore,5
http://statistics.gov.scot/id/statistical-geography/S02000480,Carse and Grangemouth Old Town,10
http://statistics.gov.scot/id/statistical-geography/S02001093,"Carstairs, Carstairs Junction and Carnwath",5
http://statistics.gov.scot/id/statistical-geography/S02000168,Castle Douglas,25
http://statistics.gov.scot/id/statistical-geography/S02001064,Castlehill and Kincaidston,0
http://statistics.gov.scot/id/statistical-geography/S02000589,Castlemilk,5
http://statistics.gov.scot/id/statistical-geography/S02000599,Cathcart,10
http://statistics.gov.scot/id/statistical-geography/S02000189,Catherinefield,0
http://statistics.gov.scot/id/statistical-geography/S02000662,Central Easterhouse,5
http://statistics.gov.scot/id/statistical-geography/S02001053,Central Shetland,10
http://statistics.gov.scot/id/statistical-geography/S02000964,"Central, North Inch and South Inch",110
http://statistics.gov.scot/id/statistical-geography/S02000903,Chapelhall East,10
http://statistics.gov.scot/id/statistical-geography/S02000902,Chapelhall West,0
http://statistics.gov.scot/id/statistical-geography/S02001083,"Chapelton, Glengavel and Sandford",0
http://statistics.gov.scot/id/statistical-geography/S02000216,Charleston,5
http://statistics.gov.scot/id/statistical-geography/S02001029,Cheviot East,10
http://statistics.gov.scot/id/statistical-geography/S02001025,Cheviot West,5
http://statistics.gov.scot/id/statistical-geography/S02000925,Chryston and Muirhead,10
http://statistics.gov.scot/id/statistical-geography/S02000018,City Centre,250
http://statistics.gov.scot/id/statistical-geography/S02000201,City Centre,105
http://statistics.gov.scot/id/statistical-geography/S02000658,City Centre East,145
http://statistics.gov.scot/id/statistical-geography/S02000655,City Centre West,465
http://statistics.gov.scot/id/statistical-geography/S02000152,"Clackmannan, Kennet and Forestmill",5
http://statistics.gov.scot/id/statistical-geography/S02000317,Clarkston and Sheddens,10
http://statistics.gov.scot/id/statistical-geography/S02000080,Clashindarroch,5
http://statistics.gov.scot/id/statistical-geography/S02000885,Cleland,5
http://statistics.gov.scot/id/statistical-geography/S02000400,Clermiston,5
http://statistics.gov.scot/id/statistical-geography/S02000394,Clerwood and Corstorphine (Hillview),0
http://statistics.gov.scot/id/statistical-geography/S02000911,Cliftonville South,20
http://statistics.gov.scot/id/statistical-geography/S02000348,Clovenstone and Drumbryden,0
http://statistics.gov.scot/id/statistical-geography/S02001081,Clydesdale South,5
http://statistics.gov.scot/id/statistical-geography/S02000913,Coatbridge West,10
http://statistics.gov.scot/id/statistical-geography/S02000915,Coatdyke and Whinhall,30
http://statistics.gov.scot/id/statistical-geography/S02001043,Coldstream and area,10
http://statistics.gov.scot/id/statistical-geography/S02000344,Colinton and Kingsknowe,5
http://statistics.gov.scot/id/statistical-geography/S02000880,Coltness,5
http://statistics.gov.scot/id/statistical-geography/S02000408,Comely Bank,5
http://statistics.gov.scot/id/statistical-geography/S02000336,Comiston and Swanston,5
http://statistics.gov.scot/id/statistical-geography/S02000960,"Comrie, Gilmerton and St Fillans",20
http://statistics.gov.scot/id/statistical-geography/S02000928,Condorrat,5
http://statistics.gov.scot/id/statistical-geography/S02000747,Conon and Muir of Ord,15
http://statistics.gov.scot/id/statistical-geography/S02000383,Corstorphine,25
http://statistics.gov.scot/id/statistical-geography/S02000976,Coupar Angus and Meigle,15
http://statistics.gov.scot/id/statistical-geography/S02000005,Cove North,35
http://statistics.gov.scot/id/statistical-geography/S02000001,Cove South,0
http://statistics.gov.scot/id/statistical-geography/S02000146,Cowal North,35
http://statistics.gov.scot/id/statistical-geography/S02000137,Cowal South,20
http://statistics.gov.scot/id/statistical-geography/S02000519,Cowdenbeath North,5
http://statistics.gov.scot/id/statistical-geography/S02000515,Cowdenbeath South,5
http://statistics.gov.scot/id/statistical-geography/S02000676,Cowlairs and Port Dundas,15
http://statistics.gov.scot/id/statistical-geography/S02001063,Coylton,5
http://statistics.gov.scot/id/statistical-geography/S02000663,Craigend and Ruchazie,10
http://statistics.gov.scot/id/statistical-geography/S02000406,Craigentinny,0
http://statistics.gov.scot/id/statistical-geography/S02000352,Craighouse and South Morningside,10
http://statistics.gov.scot/id/statistical-geography/S02000207,Craigie and Craigiebank,5
http://statistics.gov.scot/id/statistical-geography/S02000407,Craigleith,5
http://statistics.gov.scot/id/statistical-geography/S02000351,Craiglockhart,10
http://statistics.gov.scot/id/statistical-geography/S02000914,Craigneuk Airdrie,5
http://statistics.gov.scot/id/statistical-geography/S02000878,Craigneuk Wishaw,5
http://statistics.gov.scot/id/statistical-geography/S02001218,Craigshill,5
http://statistics.gov.scot/id/statistical-geography/S02000638,Craigton,5
http://statistics.gov.scot/id/statistical-geography/S02000569,Crail and Boarhills,20
http://statistics.gov.scot/id/statistical-geography/S02000421,Cramond,5
http://statistics.gov.scot/id/statistical-geography/S02000654,"Cranhill, Lightburn and Queenslie South",5
http://statistics.gov.scot/id/statistical-geography/S02000060,Crathes and Torphins,10
http://statistics.gov.scot/id/statistical-geography/S02000179,Cree Valley,30
http://statistics.gov.scot/id/statistical-geography/S02000958,Crieff North,15
http://statistics.gov.scot/id/statistical-geography/S02000957,Crieff South,20
http://statistics.gov.scot/id/statistical-geography/S02000193,Crocketford and Carsphairn,15
http://statistics.gov.scot/id/statistical-geography/S02000065,Cromar and Kildrummy,10
http://statistics.gov.scot/id/statistical-geography/S02000318,Crookfur and Fruin,10
http://statistics.gov.scot/id/statistical-geography/S02000606,Crookston North,0
http://statistics.gov.scot/id/statistical-geography/S02000601,Crookston South,0
http://statistics.gov.scot/id/statistical-geography/S02000329,Cross Stobbs,0
http://statistics.gov.scot/id/statistical-geography/S02001096,"Crossford, Braidwood and Yieldshields",5
http://statistics.gov.scot/id/statistical-geography/S02000491,"Crossford, Charleston and Limekilns",10
http://statistics.gov.scot/id/statistical-geography/S02000498,Crossgates and Halbeath,25
http://statistics.gov.scot/id/statistical-geography/S02000249,Crosshouse and Gatehead Rural,5
http://statistics.gov.scot/id/statistical-geography/S02001105,Crosshouse and Lindsayfield,0
http://statistics.gov.scot/id/statistical-geography/S02000082,Cruden,10
http://statistics.gov.scot/id/statistical-geography/S02000820,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",15
http://statistics.gov.scot/id/statistical-geography/S02000003,Culter,10
http://statistics.gov.scot/id/statistical-geography/S02000004,"Cults, Bieldside and Milltimber East",15
http://statistics.gov.scot/id/statistical-geography/S02000007,"Cults, Bieldside and Milltimber West",0
http://statistics.gov.scot/id/statistical-geography/S02000934,Cumbernauld Central,20
http://statistics.gov.scot/id/statistical-geography/S02000030,Cummings Park,5
http://statistics.gov.scot/id/statistical-geography/S02000236,Cumnock North,15
http://statistics.gov.scot/id/statistical-geography/S02000237,Cumnock Rural,10
http://statistics.gov.scot/id/statistical-geography/S02000234,Cumnock South and Craigens,5
http://statistics.gov.scot/id/statistical-geography/S02000575,Cupar Central,25
http://statistics.gov.scot/id/statistical-geography/S02000574,Cupar East,5
http://statistics.gov.scot/id/statistical-geography/S02000573,Cupar West and Springfield,5
http://statistics.gov.scot/id/statistical-geography/S02000337,Currie East,10
http://statistics.gov.scot/id/statistical-geography/S02000339,Currie West,0
http://statistics.gov.scot/id/statistical-geography/S02000571,"Dairsie, Ceres and Dunino",10
http://statistics.gov.scot/id/statistical-geography/S02000167,Dalbeattie,35
http://statistics.gov.scot/id/statistical-geography/S02000484,Dalgety Bay Central,5
http://statistics.gov.scot/id/statistical-geography/S02000487,Dalgety Bay East,10
http://statistics.gov.scot/id/statistical-geography/S02000485,Dalgety Bay West and Hillend,5
http://statistics.gov.scot/id/statistical-geography/S02000805,Dalkeith,25
http://statistics.gov.scot/id/statistical-geography/S02000370,Dalkeith Rd,30
http://statistics.gov.scot/id/statistical-geography/S02000619,Dalmarnock,5
http://statistics.gov.scot/id/statistical-geography/S02001068,Dalmilling and Craigie,0
http://statistics.gov.scot/id/statistical-geography/S02000859,Dalry East and Rural,15
http://statistics.gov.scot/id/statistical-geography/S02000861,Dalry West,0
http://statistics.gov.scot/id/statistical-geography/S02000381,Dalry and Fountainbridge,40
http://statistics.gov.scot/id/statistical-geography/S02000040,Danestone,5
http://statistics.gov.scot/id/statistical-geography/S02000587,Darnley East,0
http://statistics.gov.scot/id/statistical-geography/S02000590,Darnley North,5
http://statistics.gov.scot/id/statistical-geography/S02000586,Darnley West,10
http://statistics.gov.scot/id/statistical-geography/S02000247,Darvel,5
