Generated by http://statistics.gov.scot,2020-07-25T09:15:09+00:00
http://statistics.gov.scot/data/dwellings-type,Dwellings by Type
measure type,Ratio
Reference Period,2017
Measure (cell values): ,Ratio(Percent Of Dwellings)

,,http://statistics.gov.scot/def/concept/type-of-dwelling/detached,http://statistics.gov.scot/def/concept/type-of-dwelling/flats,http://statistics.gov.scot/def/concept/type-of-dwelling/semi-detached,http://statistics.gov.scot/def/concept/type-of-dwelling/terraced,http://statistics.gov.scot/def/concept/type-of-dwelling/unknown
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,29.3,26,21.6,18.6,4.5
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,9,51.2,19,20.5,0.3
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,24.3,22.3,20.8,32.6,0.1
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,3.1,82.8,6.6,7.4,0
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,13.9,33.1,23.3,29.7,0
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,25,31.8,25.4,17.8,0
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,49.8,11,29.9,9.3,0
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,57.9,8.3,24.6,9.2,0
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,17.6,30.8,22.4,29.1,0.1
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,24.3,17.3,16.9,41.4,0.1
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,32.7,25.6,20.8,20,0.8
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,36.2,20.6,21.7,20.2,1.3
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,34.3,31.1,19.9,13.9,0.8
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,23.8,32.6,25.2,18.3,0.2
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,31.8,17.8,33.2,17.2,0
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",44.1,8,26.1,19.8,2
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",24.7,17.8,25.8,31.6,0.1
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,26.4,25.9,22,22.5,3.1
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,17.7,46.1,21.1,15.1,0
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,34.3,18.6,22.1,24.2,0.8
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,16.5,37.1,21.5,24.6,0.2
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,20.2,23.9,22.3,33.5,0.2
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,20.4,27.1,12.3,40.2,0.1
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,23.9,32.1,22.1,21.6,0.3
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,16,21.3,19.7,42.3,0.6
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,19.1,39.1,19.6,21.4,0.9
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,33.6,13.2,25.9,27.1,0.3
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,12.9,48.7,18.8,17.8,1.8
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,9.6,52.1,18.8,17.9,1.6
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,30.9,26.4,20.5,22.2,0
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,17.3,31.1,12.6,39,0
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,26.8,21.3,24.3,27.5,0.1
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,32.5,21.5,28.6,17.3,0.1
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,2.4,90.5,2.1,4.8,0.2
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,11.4,54.1,14.4,20.1,0
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,0.9,88.2,3.3,7.5,0
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,20.5,48.4,17.8,13.2,0.1
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,8.3,74.2,6.9,10.6,0.1
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,21.2,37.4,20.3,21.1,0
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",27.3,25.2,22.9,23.6,1.1
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,20.3,26.5,25,24.2,4
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,18.4,33.2,20.7,23.2,4.4
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,33.6,15.5,25.4,25.1,0.4
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,2.1,64.8,13.8,19.1,0.3
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,3.8,72.4,10.3,13.2,0.3
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,0.3,96.8,0.3,2.1,0.5
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,2.5,73.8,11.2,12.4,0.1
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,7.6,56.2,19.1,16.9,0.2
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,5.7,60.4,18.5,14.7,0.7
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,7.3,59.6,16.3,15.8,1
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,2.7,87,3.4,6.6,0.4
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,9.6,50.1,18.8,21.3,0.3
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",19.3,28.9,24.8,26.7,0.3
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,32.5,21.6,24.8,18.5,2.7
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,20.3,27.1,28.7,23.8,0.1
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,14.6,42.1,19.7,23.5,0.1
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,24.2,26.6,24.1,25,0.1
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,21.6,18.9,18.1,41.3,0.1
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,17.2,30.9,20.9,30.9,0.2
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",26.7,28.5,21.1,23,0.7
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,37.3,14.2,28.8,19.7,0
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,15.1,37.7,21.9,25.2,0.1
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,63.5,5.1,15.1,9.6,6.7
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,29.4,24.2,22.5,21.6,2.3
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,59.8,6.9,22.1,11.1,0.1
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,11.1,53.8,17.5,17.4,0.2
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,37.3,26.4,19.2,15.6,1.4
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,38.4,23.6,22,15,0.9
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,20.6,34.7,20.2,24.1,0.4
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,16.8,35.4,23,24.4,0.4
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,13.7,40.7,22.8,22.5,0.2
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,57.6,9,26.1,7.4,0
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",48.8,9.4,20.7,15.4,5.7
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,26.8,26.3,22.2,19.8,4.8
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,28.8,21.2,33.4,16.3,0.4
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,15.6,30,20.9,33.4,0.2
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,21.9,26.4,24.5,27,0.2
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,28.7,27.8,20.6,21.9,1.1
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,33.6,14.3,25.6,26.1,0.3
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,23.2,27.6,20.6,28.1,0.6
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,22.8,28.1,22.5,22.5,4.1
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,30.2,30.4,23.9,15.5,0
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,10.4,57.3,16.4,15.5,0.4
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,39.3,18.6,22.4,17,2.7
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,18.8,31.5,20.3,29.2,0.2
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,15,50.3,14.9,19.8,0.1
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,59.8,6.9,22.1,11.1,0.1
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,57.6,9,26.1,7.4,0
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,26.6,34.3,19.8,18,1.4
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,63.5,5.1,15.1,9.6,6.7
http://statistics.gov.scot/id/statistical-geography/S13002884,Abbey,37.8,13.5,25.9,22.6,0.2
http://statistics.gov.scot/id/statistical-geography/S13002862,"Aboyne, Upper Deeside and Donside",59.2,7.1,27.1,6.6,0
http://statistics.gov.scot/id/statistical-geography/S13003001,Aird and Loch Ness,61.4,5.6,18,10,5
http://statistics.gov.scot/id/statistical-geography/S13003050,Airdrie Central,10.4,56.8,16.5,16.3,0
http://statistics.gov.scot/id/statistical-geography/S13003049,Airdrie North,22.9,24.1,20.6,32.1,0.2
http://statistics.gov.scot/id/statistical-geography/S13003053,Airdrie South,22.4,15.4,28.5,33.6,0.1
http://statistics.gov.scot/id/statistical-geography/S13002845,Airyhall/Broomhill/Garthdee,6.7,46.3,31.1,15.9,0
http://statistics.gov.scot/id/statistical-geography/S13002919,Almond,25.4,33.2,17.9,23.4,0.1
http://statistics.gov.scot/id/statistical-geography/S13003071,Almond and Earn,50.1,10.5,24.4,13.7,1.3
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,80.7,0.1,12.6,1,5.5
http://statistics.gov.scot/id/statistical-geography/S13002976,Anderston/City/Yorkhill,0.1,98.7,0,0.2,1
http://statistics.gov.scot/id/statistical-geography/S13002891,Annandale East and Eskdale ,37.8,10.4,22.9,28.8,0.2
http://statistics.gov.scot/id/statistical-geography/S13002890,Annandale North,40.3,10.4,19.7,29.4,0.1
http://statistics.gov.scot/id/statistical-geography/S13002889,Annandale South,31,8.3,23.1,37.5,0.1
http://statistics.gov.scot/id/statistical-geography/S13002892,Annick,34.2,17.9,23.6,24.2,0.1
http://statistics.gov.scot/id/statistical-geography/S13002873,Arbroath East and Lunan,10,44,16.5,29.1,0.5
http://statistics.gov.scot/id/statistical-geography/S13002872,"Arbroath West, Letham and Friockheim",37.2,19.2,17,24.1,2.5
http://statistics.gov.scot/id/statistical-geography/S13003036,Ardrossan and Arran,33.8,28.2,22.1,15.1,0.7
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,25,19.9,26.7,28.3,0
http://statistics.gov.scot/id/statistical-geography/S13003099,Avondale and Stonehouse,34.2,15.6,21,28.7,0.4
http://statistics.gov.scot/id/statistical-geography/S13003090,Ayr East,26.3,10.9,26,36.4,0.3
http://statistics.gov.scot/id/statistical-geography/S13003089,Ayr North,3.6,47.6,27.5,21.2,0.1
http://statistics.gov.scot/id/statistical-geography/S13003091,Ayr West,41.9,40.5,12.4,4.9,0.2
http://statistics.gov.scot/id/statistical-geography/S13003009,Badenoch and Strathspey,49.3,12.2,22.3,14.1,2
http://statistics.gov.scot/id/statistical-geography/S13002986,Baillieston,18.9,23.2,33.8,23.9,0.2
http://statistics.gov.scot/id/statistical-geography/S13002898,Ballochmyle,20.9,19.1,27.3,32.6,0
http://statistics.gov.scot/id/statistical-geography/S13002863,Banchory and Mid Deeside,59.7,9.8,19.6,10.8,0
http://statistics.gov.scot/id/statistical-geography/S13002848,Banff and District,37.8,12.4,33.1,16.7,0
http://statistics.gov.scot/id/statistical-geography/S13003121,Bannockburn,17.4,15.5,28.9,35.7,2.4
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",71,1.2,12.9,3.6,11.2
http://statistics.gov.scot/id/statistical-geography/S13002914,"Barrhead, Liboside and Uplawmoor",16.2,38.1,29.9,15.4,0.3
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,23.3,30.1,22.3,24.2,0
http://statistics.gov.scot/id/statistical-geography/S13002902,Bearsden North,45.6,15.3,31.3,7.8,0
http://statistics.gov.scot/id/statistical-geography/S13002903,Bearsden South,43.5,14.9,29.2,12.4,0
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,64.7,0.5,14,12.7,8
http://statistics.gov.scot/id/statistical-geography/S13003056,Bellshill,10.5,31.9,15.7,41.9,0
http://statistics.gov.scot/id/statistical-geography/S13002904,Bishopbriggs North and Campsie,34,13.9,38.5,13.5,0.1
http://statistics.gov.scot/id/statistical-geography/S13002905,Bishopbriggs South,24.1,20.7,39.4,14.2,1.6
http://statistics.gov.scot/id/statistical-geography/S13003085,"Bishopton, Bridge of Weir and Langbank",36.9,17.4,32.4,12.7,0.5
http://statistics.gov.scot/id/statistical-geography/S13002998,Black Isle,58.9,3.6,20.6,13.2,3.7
http://statistics.gov.scot/id/statistical-geography/S13003065,Blairgowrie and Glens,46.2,19.8,17.5,15.4,1
http://statistics.gov.scot/id/statistical-geography/S13003109,Blantyre,10.6,24.5,21.7,43.2,0.1
http://statistics.gov.scot/id/statistical-geography/S13002940,Bonnybridge and Larbert,33.8,16.3,27.8,18.9,3.2
http://statistics.gov.scot/id/statistical-geography/S13003019,Bonnyrigg,23,17.7,24.1,35.2,0.1
http://statistics.gov.scot/id/statistical-geography/S13003110,Bothwell and Uddingston,33,33.1,11.3,22.5,0
http://statistics.gov.scot/id/statistical-geography/S13002936,Bo’ness and Blackness,18.8,26.4,24.2,29.1,1.5
http://statistics.gov.scot/id/statistical-geography/S13002868,Brechin and Edzell,33.5,26.3,20.9,17.2,2
http://statistics.gov.scot/id/statistical-geography/S13002836,Bridge of Don,25.3,13.2,40,21.5,0
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",21.9,25.5,21.3,31,0.3
http://statistics.gov.scot/id/statistical-geography/S13002966,"Buckhaven, Methil and Wemyss Villages",6.2,42.2,22.9,28.7,0
http://statistics.gov.scot/id/statistical-geography/S13003026,Buckie,28.8,12,41.4,17.9,0
http://statistics.gov.scot/id/statistical-geography/S13002953,"Burntisland, Kinghorn and Western Kirkcaldy",34.7,32.7,20.1,12.4,0.1
http://statistics.gov.scot/id/statistical-geography/S13002975,Calton,0.8,79.9,2.8,14.9,1.6
http://statistics.gov.scot/id/statistical-geography/S13003108,Cambuslang East,34.2,21.7,25.7,18.3,0
http://statistics.gov.scot/id/statistical-geography/S13003107,Cambuslang West,14.2,44.8,28.7,12.3,0
http://statistics.gov.scot/id/statistical-geography/S13002982,Canal,1.4,66.7,13.9,17.9,0.2
http://statistics.gov.scot/id/statistical-geography/S13003000,Caol and Mallaig,34.2,4.8,25,30.1,5.8
http://statistics.gov.scot/id/statistical-geography/S13002970,Cardonald,2.3,63.1,16.1,18.4,0.1
http://statistics.gov.scot/id/statistical-geography/S13002871,Carnoustie and District,37.4,11.7,30.7,18.8,1.4
http://statistics.gov.scot/id/statistical-geography/S13003063,Carse of Gowrie,46.4,12.5,24.2,14.8,2
http://statistics.gov.scot/id/statistical-geography/S13002939,"Carse, Kinnaird and Tryst",21.5,16.3,29.6,25,7.6
http://statistics.gov.scot/id/statistical-geography/S13002883,Castle Douglas and Crocketford,41.8,12.4,26.4,19,0.3
http://statistics.gov.scot/id/statistical-geography/S13002851,Central Buchan,55,4.6,30.5,9.9,0
http://statistics.gov.scot/id/statistical-geography/S13002929,City Centre,0.5,94.1,0.5,4.3,0.6
http://statistics.gov.scot/id/statistical-geography/S13002877,Clackmannanshire Central,15.4,27.3,26.2,29,2.1
http://statistics.gov.scot/id/statistical-geography/S13002879,Clackmannanshire East,39.3,11.9,23.9,19.2,5.7
http://statistics.gov.scot/id/statistical-geography/S13002876,Clackmannanshire North,20.1,32.6,22.4,22.5,2.5
http://statistics.gov.scot/id/statistical-geography/S13002878,Clackmannanshire South,13.8,35.7,20.5,27,3
http://statistics.gov.scot/id/statistical-geography/S13002875,Clackmannanshire West,27,18.3,24.4,27.9,2.4
http://statistics.gov.scot/id/statistical-geography/S13002917,"Clarkston, Netherlee and Williamwood",20.9,17.9,31.6,29.5,0.1
http://statistics.gov.scot/id/statistical-geography/S13003126,Clydebank Central,4.1,63.3,17.5,15,0
http://statistics.gov.scot/id/statistical-geography/S13003127,Clydebank Waterfront,5.3,63.7,12.1,18.9,0
http://statistics.gov.scot/id/statistical-geography/S13003097,Clydesdale East,41.5,11.9,23.2,22.1,1.3
http://statistics.gov.scot/id/statistical-geography/S13003096,Clydesdale North,30.5,25.5,17,25.7,1.3
http://statistics.gov.scot/id/statistical-geography/S13003098,Clydesdale South,28.2,19.8,25.7,25.7,0.6
http://statistics.gov.scot/id/statistical-geography/S13003095,Clydesdale West,34.2,17.6,23.7,24.2,0.4
http://statistics.gov.scot/id/statistical-geography/S13003048,Coatbridge North,5.6,58,19.4,17,0
http://statistics.gov.scot/id/statistical-geography/S13003052,Coatbridge South,13.3,37.6,20.5,28.5,0
http://statistics.gov.scot/id/statistical-geography/S13003051,Coatbridge West,9.8,38,17,35.2,0
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,4,79.3,6.8,7.9,2
http://statistics.gov.scot/id/statistical-geography/S13002926,Colinton/Fairmilehead,34.2,34.7,18.2,12.8,0
http://statistics.gov.scot/id/statistical-geography/S13002924,Corstorphine/Murrayfield,15.9,49.8,19.3,15,0
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,48.5,24.2,17.8,8.8,0.7
http://statistics.gov.scot/id/statistical-geography/S13003128,Cowdenbeath,19,28,24,28.7,0.3
http://statistics.gov.scot/id/statistical-geography/S13002932,Craigentinny/Duddingston,6.4,75,9.1,9.5,0
http://statistics.gov.scot/id/statistical-geography/S13002995,Cromarty Firth,26.9,9.8,26.7,34.9,1.7
http://statistics.gov.scot/id/statistical-geography/S13003006,Culloden  and Ardersier,36.6,14,22.9,24.9,1.6
http://statistics.gov.scot/id/statistical-geography/S13003045,Cumbernauld East,3.6,35.1,6.6,54.4,0.2
http://statistics.gov.scot/id/statistical-geography/S13003043,Cumbernauld North,48.1,6.2,17.2,28.5,0.1
http://statistics.gov.scot/id/statistical-geography/S13003044,Cumbernauld South,11.9,25.5,10.6,51.9,0
http://statistics.gov.scot/id/statistical-geography/S13002899,Cumnock and New Cumnock,20.8,23.9,27.8,27.5,0
http://statistics.gov.scot/id/statistical-geography/S13002964,Cupar,34.7,19.6,25.7,19.2,0.8
http://statistics.gov.scot/id/statistical-geography/S13003020,Dalkeith,14.7,35.1,15.5,34.5,0.3
http://statistics.gov.scot/id/statistical-geography/S13003037,Dalry and West Kilbride,32.7,21.8,24,21.1,0.3
http://statistics.gov.scot/id/statistical-geography/S13002882,Dee and Glenkens,44.1,9.1,23,23.4,0.4
http://statistics.gov.scot/id/statistical-geography/S13002988,Dennistoun,0.4,93.5,3.4,2.7,0.1
http://statistics.gov.scot/id/statistical-geography/S13002938,Denny and Banknock,19.8,20.9,22.5,32.6,4.3
http://statistics.gov.scot/id/statistical-geography/S13002997,Dingwall and Seaforth,40,12.6,25.5,19.8,2.2
http://statistics.gov.scot/id/statistical-geography/S13002900,Doon Valley,18.1,15.8,31.4,34.6,0.1
http://statistics.gov.scot/id/statistical-geography/S13002921,Drum Brae/Gyle,17.7,36.7,20.9,24.7,0
http://statistics.gov.scot/id/statistical-geography/S13002980,Drumchapel/Anniesland,2.1,64.5,15.8,17.6,0.1
http://statistics.gov.scot/id/statistical-geography/S13003124,Dumbarton,12.3,49,19.6,18.8,0.4
http://statistics.gov.scot/id/statistical-geography/S13002913,Dunbar and East Linton,31.7,24.3,24.3,19.4,0.2
http://statistics.gov.scot/id/statistical-geography/S13003117,Dunblane and Bridge of Allan,42.4,24.5,17.9,12.2,3.1
http://statistics.gov.scot/id/statistical-geography/S13002947,Dunfermline Central,32.1,33.5,18.8,15.5,0
http://statistics.gov.scot/id/statistical-geography/S13002946,Dunfermline North,26,41,16.9,16.2,0
http://statistics.gov.scot/id/statistical-geography/S13002948,Dunfermline South,34.1,15.8,21.8,28.3,0
http://statistics.gov.scot/id/statistical-geography/S13002522,Dunoon,27.5,41.6,15.4,14.7,0.8
http://statistics.gov.scot/id/statistical-geography/S13002835,Dyce/Bucksburn/Danestone,16.2,30.7,27.8,25.3,0
http://statistics.gov.scot/id/statistical-geography/S13002767,East Berwickshire,35,11.5,24.5,27.8,1.1
http://statistics.gov.scot/id/statistical-geography/S13002984,East Centre,2,60.9,22.1,13.7,1.3
http://statistics.gov.scot/id/statistical-geography/S13002551,East End,4.7,39.3,24.5,31.2,0.3
http://statistics.gov.scot/id/statistical-geography/S13002859,East Garioch,59.6,8.1,25.9,6.4,0
http://statistics.gov.scot/id/statistical-geography/S13003102,East Kilbride Central North,7.9,42.8,14.8,34.5,0.1
http://statistics.gov.scot/id/statistical-geography/S13003101,East Kilbride Central South,4,40.1,8.3,47.5,0
http://statistics.gov.scot/id/statistical-geography/S13003104,East Kilbride East,7,40.2,5.5,47.3,0
http://statistics.gov.scot/id/statistical-geography/S13003100,East Kilbride South,22.7,12.2,12,53.1,0
http://statistics.gov.scot/id/statistical-geography/S13003103,East Kilbride West,59.4,10.4,25.6,4.6,0.1
http://statistics.gov.scot/id/statistical-geography/S13002824,East Livingston and East Calder,20.9,17.9,22.7,38.3,0.1
http://statistics.gov.scot/id/statistical-geography/S13002736,"East Mainland, South Ronaldsay and Burray",76.8,1.1,18,4,0.1
http://statistics.gov.scot/id/statistical-geography/S13002963,East Neuk and Landward,25.6,22.1,22.7,29.4,0.1
http://statistics.gov.scot/id/statistical-geography/S13002993,East Sutherland and Edderton,47.3,3.7,31.4,14.6,2.9
http://statistics.gov.scot/id/statistical-geography/S13002999,Eilean a' Chèo,63.9,4.7,13.4,6.6,11.3
http://statistics.gov.scot/id/statistical-geography/S13003029,Elgin City North,26.3,25.2,22.8,25.6,0
http://statistics.gov.scot/id/statistical-geography/S13003030,Elgin City South,27.3,22,33.8,16.9,0
http://statistics.gov.scot/id/statistical-geography/S13002856,Ellon and District,45.6,14.5,33.6,6.3,0
