"Data for weekly deaths (occurrences)1, by local authority, location and cause, 2020",,,,,,,,,
,,,,,,,,,
Week of occurrence,Council,Location of death,Cause of Death,deaths,,,,,
03,Moray,Home / Non-institution,Non-COVID-19,6,,,,,
03,Moray,Hospital,Non-COVID-19,12,,,,,
03,Na h-Eileanan Siar,Care Home,Non-COVID-19,4,,,,,
03,Na h-Eileanan Siar,Home / Non-institution,Non-COVID-19,1,,,,,
03,Na h-Eileanan Siar,Hospital,Non-COVID-19,5,,,,,
03,North Ayrshire,Care Home,Non-COVID-19,7,,,,,
03,North Ayrshire,Home / Non-institution,Non-COVID-19,5,,,,,
03,North Ayrshire,Hospital,Non-COVID-19,18,,,,,
03,North Ayrshire,Other institution,Non-COVID-19,1,,,,,
03,North Lanarkshire,Care Home,Non-COVID-19,14,,,,,
03,North Lanarkshire,Home / Non-institution,Non-COVID-19,29,,,,,
03,North Lanarkshire,Hospital,Non-COVID-19,28,,,,,
03,Orkney Islands,Home / Non-institution,Non-COVID-19,1,,,,,
03,Perth and Kinross,Care Home,Non-COVID-19,21,,,,,
03,Perth and Kinross,Home / Non-institution,Non-COVID-19,8,,,,,
03,Perth and Kinross,Hospital,Non-COVID-19,16,,,,,
03,Renfrewshire,Care Home,Non-COVID-19,8,,,,,
03,Renfrewshire,Home / Non-institution,Non-COVID-19,12,,,,,
03,Renfrewshire,Hospital,Non-COVID-19,18,,,,,
03,Scottish Borders,Care Home,Non-COVID-19,8,,,,,
03,Scottish Borders,Home / Non-institution,Non-COVID-19,7,,,,,
03,Scottish Borders,Hospital,Non-COVID-19,16,,,,,
03,Scottish Borders,Other institution,Non-COVID-19,3,,,,,
03,Shetland Islands,Care Home,Non-COVID-19,2,,,,,
03,Shetland Islands,Home / Non-institution,Non-COVID-19,1,,,,,
03,South Ayrshire,Care Home,Non-COVID-19,5,,,,,
03,South Ayrshire,Home / Non-institution,Non-COVID-19,6,,,,,
03,South Ayrshire,Hospital,Non-COVID-19,16,,,,,
03,South Lanarkshire,Care Home,Non-COVID-19,17,,,,,
03,South Lanarkshire,Home / Non-institution,Non-COVID-19,17,,,,,
03,South Lanarkshire,Hospital,Non-COVID-19,40,,,,,
03,South Lanarkshire,Other institution,Non-COVID-19,2,,,,,
03,Stirling,Care Home,Non-COVID-19,5,,,,,
03,Stirling,Home / Non-institution,Non-COVID-19,3,,,,,
03,Stirling,Hospital,Non-COVID-19,16,,,,,
03,West Dunbartonshire,Care Home,Non-COVID-19,3,,,,,
03,West Dunbartonshire,Home / Non-institution,Non-COVID-19,9,,,,,
03,West Dunbartonshire,Hospital,Non-COVID-19,10,,,,,
03,West Lothian,Care Home,Non-COVID-19,5,,,,,
03,West Lothian,Home / Non-institution,Non-COVID-19,4,,,,,
03,West Lothian,Hospital,Non-COVID-19,12,,,,,
04,Aberdeen City,Care Home,Non-COVID-19,3,,,,,
04,Aberdeen City,Home / Non-institution,Non-COVID-19,9,,,,,
04,Aberdeen City,Hospital,Non-COVID-19,30,,,,,
04,Aberdeenshire,Care Home,Non-COVID-19,16,,,,,
04,Aberdeenshire,Home / Non-institution,Non-COVID-19,13,,,,,
04,Aberdeenshire,Hospital,Non-COVID-19,25,,,,,
04,Angus,Care Home,Non-COVID-19,5,,,,,
04,Angus,Home / Non-institution,Non-COVID-19,9,,,,,
04,Angus,Hospital,Non-COVID-19,17,,,,,
04,Argyll and Bute,Care Home,Non-COVID-19,3,,,,,
04,Argyll and Bute,Home / Non-institution,Non-COVID-19,6,,,,,
04,Argyll and Bute,Hospital,Non-COVID-19,13,,,,,
04,City of Edinburgh,Care Home,Non-COVID-19,30,,,,,
04,City of Edinburgh,Home / Non-institution,Non-COVID-19,27,,,,,
04,City of Edinburgh,Hospital,Non-COVID-19,38,,,,,
04,Clackmannanshire,Care Home,Non-COVID-19,4,,,,,
04,Clackmannanshire,Home / Non-institution,Non-COVID-19,2,,,,,
04,Clackmannanshire,Hospital,Non-COVID-19,3,,,,,
04,Dumfries and Galloway,Care Home,Non-COVID-19,8,,,,,
04,Dumfries and Galloway,Home / Non-institution,Non-COVID-19,16,,,,,
04,Dumfries and Galloway,Hospital,Non-COVID-19,16,,,,,
04,Dundee City,Care Home,Non-COVID-19,9,,,,,
04,Dundee City,Home / Non-institution,Non-COVID-19,8,,,,,
04,Dundee City,Hospital,Non-COVID-19,22,,,,,
04,East Ayrshire,Care Home,Non-COVID-19,5,,,,,
04,East Ayrshire,Home / Non-institution,Non-COVID-19,6,,,,,
04,East Ayrshire,Hospital,Non-COVID-19,13,,,,,
04,East Dunbartonshire,Care Home,Non-COVID-19,10,,,,,
04,East Dunbartonshire,Home / Non-institution,Non-COVID-19,7,,,,,
04,East Dunbartonshire,Hospital,Non-COVID-19,12,,,,,
04,East Lothian,Care Home,Non-COVID-19,5,,,,,
04,East Lothian,Home / Non-institution,Non-COVID-19,3,,,,,
04,East Lothian,Hospital,Non-COVID-19,9,,,,,
04,East Renfrewshire,Care Home,Non-COVID-19,6,,,,,
04,East Renfrewshire,Home / Non-institution,Non-COVID-19,14,,,,,
04,East Renfrewshire,Hospital,Non-COVID-19,8,,,,,
04,Falkirk,Care Home,Non-COVID-19,12,,,,,
04,Falkirk,Home / Non-institution,Non-COVID-19,11,,,,,
04,Falkirk,Hospital,Non-COVID-19,16,,,,,
04,Fife,Care Home,Non-COVID-19,20,,,,,
04,Fife,Home / Non-institution,Non-COVID-19,18,,,,,
04,Fife,Hospital,Non-COVID-19,49,,,,,
04,Glasgow City,Care Home,Non-COVID-19,32,,,,,
04,Glasgow City,Home / Non-institution,Non-COVID-19,39,,,,,
04,Glasgow City,Hospital,Non-COVID-19,53,,,,,
04,Highland,Care Home,Non-COVID-19,11,,,,,
04,Highland,Home / Non-institution,Non-COVID-19,18,,,,,
04,Highland,Hospital,Non-COVID-19,17,,,,,
04,Inverclyde,Care Home,Non-COVID-19,4,,,,,
04,Inverclyde,Home / Non-institution,Non-COVID-19,4,,,,,
04,Inverclyde,Hospital,Non-COVID-19,14,,,,,
04,Midlothian,Care Home,Non-COVID-19,7,,,,,
04,Midlothian,Home / Non-institution,Non-COVID-19,7,,,,,
04,Midlothian,Hospital,Non-COVID-19,8,,,,,
04,Moray,Care Home,Non-COVID-19,4,,,,,
04,Moray,Home / Non-institution,Non-COVID-19,7,,,,,
04,Moray,Hospital,Non-COVID-19,8,,,,,
04,Na h-Eileanan Siar,Care Home,Non-COVID-19,3,,,,,
04,Na h-Eileanan Siar,Home / Non-institution,Non-COVID-19,1,,,,,
04,Na h-Eileanan Siar,Hospital,Non-COVID-19,5,,,,,
04,North Ayrshire,Care Home,Non-COVID-19,8,,,,,
04,North Ayrshire,Home / Non-institution,Non-COVID-19,8,,,,,
04,North Ayrshire,Hospital,Non-COVID-19,20,,,,,
04,North Lanarkshire,Care Home,Non-COVID-19,20,,,,,
04,North Lanarkshire,Home / Non-institution,Non-COVID-19,20,,,,,
04,North Lanarkshire,Hospital,Non-COVID-19,49,,,,,
04,Orkney Islands,Care Home,Non-COVID-19,1,,,,,
04,Orkney Islands,Home / Non-institution,Non-COVID-19,3,,,,,
04,Perth and Kinross,Care Home,Non-COVID-19,15,,,,,
04,Perth and Kinross,Home / Non-institution,Non-COVID-19,10,,,,,
04,Perth and Kinross,Hospital,Non-COVID-19,9,,,,,
04,Perth and Kinross,Other institution,Non-COVID-19,1,,,,,
04,Renfrewshire,Care Home,Non-COVID-19,9,,,,,
04,Renfrewshire,Home / Non-institution,Non-COVID-19,5,,,,,
04,Renfrewshire,Hospital,Non-COVID-19,20,,,,,
04,Scottish Borders,Care Home,Non-COVID-19,4,,,,,
04,Scottish Borders,Home / Non-institution,Non-COVID-19,2,,,,,
04,Scottish Borders,Hospital,Non-COVID-19,11,,,,,
04,Scottish Borders,Other institution,Non-COVID-19,5,,,,,
04,Shetland Islands,Care Home,Non-COVID-19,1,,,,,
04,Shetland Islands,Home / Non-institution,Non-COVID-19,1,,,,,
04,Shetland Islands,Hospital,Non-COVID-19,1,,,,,
04,South Ayrshire,Care Home,Non-COVID-19,17,,,,,
04,South Ayrshire,Home / Non-institution,Non-COVID-19,7,,,,,
04,South Ayrshire,Hospital,Non-COVID-19,22,,,,,
04,South Lanarkshire,Care Home,Non-COVID-19,16,,,,,
04,South Lanarkshire,Home / Non-institution,Non-COVID-19,24,,,,,
04,South Lanarkshire,Hospital,Non-COVID-19,41,,,,,
04,Stirling,Care Home,Non-COVID-19,3,,,,,
04,Stirling,Home / Non-institution,Non-COVID-19,1,,,,,
04,Stirling,Hospital,Non-COVID-19,10,,,,,
04,West Dunbartonshire,Care Home,Non-COVID-19,5,,,,,
04,West Dunbartonshire,Home / Non-institution,Non-COVID-19,8,,,,,
04,West Dunbartonshire,Hospital,Non-COVID-19,13,,,,,
04,West Lothian,Care Home,Non-COVID-19,9,,,,,
04,West Lothian,Home / Non-institution,Non-COVID-19,10,,,,,
04,West Lothian,Hospital,Non-COVID-19,20,,,,,
05,Aberdeen City,Care Home,Non-COVID-19,11,,,,,
05,Aberdeen City,Home / Non-institution,Non-COVID-19,6,,,,,
05,Aberdeen City,Hospital,Non-COVID-19,24,,,,,
05,Aberdeenshire,Care Home,Non-COVID-19,7,,,,,
05,Aberdeenshire,Home / Non-institution,Non-COVID-19,20,,,,,
05,Aberdeenshire,Hospital,Non-COVID-19,25,,,,,
05,Aberdeenshire,Other institution,Non-COVID-19,1,,,,,
05,Angus,Care Home,Non-COVID-19,9,,,,,
05,Angus,Home / Non-institution,Non-COVID-19,7,,,,,
05,Angus,Hospital,Non-COVID-19,21,,,,,
05,Argyll and Bute,Care Home,Non-COVID-19,8,,,,,
05,Argyll and Bute,Home / Non-institution,Non-COVID-19,4,,,,,
05,Argyll and Bute,Hospital,Non-COVID-19,11,,,,,
05,City of Edinburgh,Care Home,Non-COVID-19,21,,,,,
05,City of Edinburgh,Home / Non-institution,Non-COVID-19,23,,,,,
05,City of Edinburgh,Hospital,Non-COVID-19,40,,,,,
05,Clackmannanshire,Care Home,Non-COVID-19,6,,,,,
05,Clackmannanshire,Home / Non-institution,Non-COVID-19,4,,,,,
05,Clackmannanshire,Hospital,Non-COVID-19,6,,,,,
05,Dumfries and Galloway,Care Home,Non-COVID-19,7,,,,,
05,Dumfries and Galloway,Home / Non-institution,Non-COVID-19,12,,,,,
05,Dumfries and Galloway,Hospital,Non-COVID-19,18,,,,,
05,Dundee City,Care Home,Non-COVID-19,7,,,,,
05,Dundee City,Home / Non-institution,Non-COVID-19,7,,,,,
05,Dundee City,Hospital,Non-COVID-19,20,,,,,
05,East Ayrshire,Care Home,Non-COVID-19,6,,,,,
05,East Ayrshire,Home / Non-institution,Non-COVID-19,10,,,,,
05,East Ayrshire,Hospital,Non-COVID-19,11,,,,,
05,East Dunbartonshire,Care Home,Non-COVID-19,3,,,,,
05,East Dunbartonshire,Home / Non-institution,Non-COVID-19,2,,,,,
05,East Dunbartonshire,Hospital,Non-COVID-19,7,,,,,
05,East Lothian,Care Home,Non-COVID-19,7,,,,,
05,East Lothian,Home / Non-institution,Non-COVID-19,5,,,,,
05,East Lothian,Hospital,Non-COVID-19,15,,,,,
05,East Renfrewshire,Care Home,Non-COVID-19,5,,,,,
05,East Renfrewshire,Home / Non-institution,Non-COVID-19,6,,,,,
05,East Renfrewshire,Hospital,Non-COVID-19,5,,,,,
05,Falkirk,Care Home,Non-COVID-19,8,,,,,
05,Falkirk,Home / Non-institution,Non-COVID-19,10,,,,,
05,Falkirk,Hospital,Non-COVID-19,13,,,,,
05,Fife,Care Home,Non-COVID-19,22,,,,,
05,Fife,Home / Non-institution,Non-COVID-19,20,,,,,
05,Fife,Hospital,Non-COVID-19,38,,,,,
05,Glasgow City,Care Home,Non-COVID-19,36,,,,,
05,Glasgow City,Home / Non-institution,Non-COVID-19,39,,,,,
05,Glasgow City,Hospital,Non-COVID-19,68,,,,,
