Table 2: Weekly provisional1 figures on all deaths registered2 in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,,Year to Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perth and Kinross,35,62,39,43,34,35,41,28,35,35,39,28,44,43,54,47,51,43,35,45,40,34,28,23,,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renfrewshire,43,55,46,43,33,35,39,41,37,43,40,44,26,75,71,81,97,75,53,61,50,42,39,31,,"1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scottish Borders,20,41,38,29,27,24,25,23,35,32,29,36,23,42,37,31,30,27,24,28,32,18,33,27,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shetland Islands,5,4,2,2,5,6,4,4,3,4,3,3,9,8,8,3,2,6,6,6,2,5,3,4,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Ayrshire,42,41,36,40,31,34,23,35,35,30,36,26,31,43,47,53,39,38,27,36,29,27,23,27,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Lanarkshire,63,91,82,75,68,87,85,78,71,70,67,67,59,114,141,131,123,100,104,101,86,72,72,64,,"2,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stirling,20,18,14,22,21,17,21,18,17,16,17,20,12,32,34,27,23,23,29,24,10,10,17,18,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Dunbartonshire,25,34,25,20,22,16,16,24,21,21,23,25,21,43,43,41,31,42,28,29,21,22,20,28,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Lothian,36,35,29,33,40,40,44,34,36,28,40,39,30,45,51,43,41,51,42,44,38,41,29,38,,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by location6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Care Home,306,356,318,292,279,285,258,266,266,288,258,274,261,443,600,681,689,638,489,436,350,294,263,234,,"8,824 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home / Non-institution,305,413,366,333,313,321,350,337,362,347,364,367,354,570,600,530,509,506,437,471,444,402,389,407,,"9,797 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hospital,548,790,632,596,590,604,552,552,539,567,571,544,463,724,769,701,635,529,508,510,428,432,440,389,,"13,613 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other institution,2,8,6,5,6,6,2,7,4,6,5,11,1,7,9,4,3,6,1,4,4,0,1,2,,110 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days. More information on days between occurrence and registration can be be found on the NRS website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering.   Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when registration offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to area based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the area where the death occurred.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Other institutions include clinics, medical centres, prisons and schools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Records of Scotland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
